City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
chuy,-33.6971,-53.4616,70.09,96.0,2.0,6.24,UY,1611453893.0
vaini,-21.2,-175.2,78.8,94.0,75.0,8.05,TO,1611453893.0
dikson,73.5069,80.5464,-16.96,90.0,69.0,7.07,RU,1611453893.0
provideniya,64.3833,-173.3,7.03,84.0,1.0,2.01,RU,1611453893.0
yellowknife,62.456,-114.3525,-24.0,75.0,1.0,3.44,CA,1611453812.0
souillac,-20.5167,57.5167,75.2,94.0,40.0,2.3,MU,1611453893.0
rio gallegos,-51.6226,-69.2181,62.6,34.0,0.0,6.91,AR,1611453893.0
bereda,43.2686,-7.5406,48.99,100.0,99.0,8.99,ES,1611453893.0
deputatskiy,69.3,139.9,-35.32,85.0,99.0,2.21,RU,1611453894.0
rikitea,-23.1203,-134.9692,79.52,63.0,15.0,6.58,PF,1611453894.0
nanortalik,60.1432,-45.2371,22.35,89.0,0.0,10.69,GL,1611453894.0
camana,-16.6228,-72.7111,70.97,75.0,42.0,5.53,PE,1611453894.0
mataura,-46.1927,168.8643,57.99,83.0,98.0,21.99,NZ,1611453894.0
saint anthony,45.0205,-93.218,18.0,79.0,90.0,9.22,US,1611453894.0
chokurdakh,70.6333,147.9167,-35.97,83.0,100.0,7.76,RU,1611453894.0
salalah,17.0151,54.0924,68.0,34.0,0.0,14.97,OM,1611453894.0
port hardy,50.6996,-127.4199,39.2,81.0,90.0,4.61,CA,1611453775.0
hilo,19.7297,-155.09,78.8,61.0,75.0,9.22,US,1611453890.0
wynyard,-41.0,145.7167,73.99,43.0,100.0,8.99,AU,1611453894.0
norman wells,65.282,-126.8329,-14.8,76.0,75.0,4.61,CA,1611453894.0
butaritari,3.0707,172.7902,80.1,78.0,61.0,9.15,KI,1611453894.0
komsomolskiy,40.4272,71.7189,19.4,73.0,100.0,2.3,UZ,1611453894.0
okha,53.5739,142.9478,-5.71,86.0,100.0,10.94,RU,1611453894.0
saint-jean-de-maurienne,45.1667,6.5833,26.01,90.0,100.0,3.94,FR,1611453894.0
east london,-33.0153,27.9116,71.35,70.0,74.0,23.22,ZA,1611453895.0
hermanus,-34.4187,19.2345,57.0,95.0,8.0,8.68,ZA,1611453895.0
ribeira grande,38.5167,-28.7,62.65,87.0,80.0,26.87,PT,1611453895.0
new norfolk,-42.7826,147.0587,84.0,25.0,100.0,1.99,AU,1611453895.0
lagoa,39.05,-27.9833,61.41,90.0,100.0,30.27,PT,1611453895.0
kwekwe,-18.9281,29.8149,61.83,97.0,100.0,2.73,ZW,1611453895.0
conde,-7.2597,-34.9075,77.0,88.0,20.0,5.75,BR,1611453895.0
punta arenas,-53.15,-70.9167,51.8,62.0,0.0,23.02,CL,1611453895.0
payo,-3.7508,103.6372,78.71,85.0,100.0,3.44,ID,1611453895.0
shenjiamen,29.9576,122.298,44.19,88.0,89.0,12.59,CN,1611453895.0
kisangani,0.5167,25.2,72.21,76.0,100.0,2.13,CD,1611453895.0
khatanga,71.9667,102.5,-25.87,85.0,100.0,11.18,RU,1611453895.0
tuktoyaktuk,69.4541,-133.0374,-22.0,76.0,1.0,16.11,CA,1611453895.0
asau,46.4333,26.4,37.0,62.0,100.0,4.34,RO,1611453895.0
faya,18.3851,42.4509,50.0,46.0,0.0,2.57,SA,1611453895.0
nha trang,12.25,109.1833,77.0,65.0,40.0,9.22,VN,1611453895.0
jamestown,42.097,-79.2353,21.0,86.0,90.0,9.22,US,1611453725.0
turukhansk,65.8167,87.9833,-38.43,76.0,9.0,6.02,RU,1611453896.0
kodiak,57.79,-152.4072,39.2,56.0,40.0,14.97,US,1611453896.0
belmonte,-15.8631,-38.8828,73.4,88.0,40.0,4.61,BR,1611453896.0
busselton,-33.65,115.3333,71.01,63.0,53.0,5.01,AU,1611453849.0
soc trang,9.6033,105.98,78.8,89.0,40.0,6.91,VN,1611453896.0
luderitz,-26.6481,15.1594,70.9,49.0,100.0,27.09,NA,1611453896.0
davila,18.4726,120.5763,78.8,78.0,75.0,13.8,PH,1611453896.0
port alfred,-33.5906,26.891,64.99,95.0,71.0,4.0,ZA,1611453896.0
saskylakh,71.9167,114.0833,-34.65,80.0,25.0,6.15,RU,1611453896.0
bredasdorp,-34.5322,20.0403,59.0,88.0,57.0,6.91,ZA,1611453896.0
poya,-21.35,165.15,81.3,75.0,100.0,9.98,NC,1611453896.0
fortuna,40.5982,-124.1573,48.0,81.0,90.0,8.05,US,1611453708.0
leningradskiy,69.3833,178.4167,-16.42,80.0,0.0,2.98,RU,1611453896.0
atuona,-9.8,-139.0333,78.21,80.0,4.0,16.17,PF,1611453896.0
upernavik,72.7868,-56.1549,20.35,82.0,100.0,7.2,GL,1611453896.0
hobart,-42.8794,147.3294,84.0,56.0,75.0,11.5,AU,1611453852.0
cape town,-33.9258,18.4232,64.99,67.0,20.0,16.11,ZA,1611453670.0
carndonagh,55.25,-7.2667,31.12,95.0,100.0,4.0,IE,1611453896.0
dryden,49.7833,-92.7503,17.6,86.0,90.0,13.8,CA,1611453896.0
barahona,18.2085,-71.1008,75.47,80.0,38.0,3.67,DO,1611453897.0
visnes,59.3556,5.2242,34.0,93.0,75.0,8.05,NO,1611453897.0
coquimbo,-29.9533,-71.3436,62.6,82.0,20.0,5.75,CL,1611453696.0
henties bay,-22.116,14.2845,71.01,89.0,100.0,3.27,NA,1611453897.0
ponta do sol,32.6667,-17.1,59.0,77.0,100.0,1.99,PT,1611453897.0
eureka,40.8021,-124.1637,48.0,78.0,16.0,7.0,US,1611453811.0
velten,52.6833,13.1833,35.01,92.0,100.0,4.43,DE,1611453897.0
honiara,-9.4333,159.95,86.68,56.0,100.0,6.38,SB,1611453897.0
bilibino,68.0546,166.4372,-32.08,81.0,62.0,1.86,RU,1611453897.0
airai,-8.9266,125.4092,70.47,84.0,89.0,3.67,TL,1611453897.0
belaya gora,68.5333,146.4167,-31.58,84.0,100.0,5.01,RU,1611453897.0
antalaha,-14.9003,50.2788,75.7,87.0,100.0,4.79,MG,1611453897.0
san cristobal,7.7669,-72.225,66.72,76.0,92.0,2.28,VE,1611453796.0
ushuaia,-54.8,-68.3,57.2,44.0,40.0,18.41,AR,1611453763.0
mehamn,71.0357,27.8492,19.69,93.0,100.0,23.62,NO,1611453897.0
narsaq,60.9167,-46.05,28.4,29.0,0.0,23.02,GL,1611453897.0
bluff,-46.6,168.3333,57.99,83.0,87.0,21.99,NZ,1611453897.0
ladario,-19.0047,-57.6017,74.55,93.0,100.0,1.95,BR,1611453671.0
codrington,-38.2667,141.9667,96.24,19.0,100.0,7.34,AU,1611453898.0
sakakah,29.9697,40.2064,39.2,41.0,0.0,3.44,SA,1611453898.0
mahebourg,-20.4081,57.7,75.2,94.0,40.0,2.3,MU,1611453898.0
chicama,-7.8447,-79.1469,69.8,88.0,20.0,10.36,PE,1611453898.0
qaanaaq,77.484,-69.3632,14.72,78.0,91.0,0.56,GL,1611453898.0
albany,42.6001,-73.9662,16.0,57.0,0.0,3.0,US,1611453690.0
kamien pomorski,53.9685,14.7726,30.99,100.0,90.0,3.44,PL,1611453898.0
miles city,46.4083,-105.8406,17.6,67.0,1.0,4.61,US,1611453898.0
west wendover,40.7391,-114.0733,30.2,93.0,90.0,4.61,US,1611453789.0
